producttype,scenario_name,description
LIGNA,Refurbishment for reuse,"When the product reaches its end of life in the current building, product can be carefully deconstructed and refurbished locally or central inorder to be used in a new building project. This scenario has the highest potential for circularity, significantly reducing the need for new   raw materials in future productions of LIGNA. "
LIGNA,Incineration,"When the product reaches its end of life in the current building, the wooden based floor panels are sent to an incineration facility, which is a CO2 intensive process. No materials are being recovered ."
FLOOR and more®,Landfilling,"When the product reaches its end of life in the current building, the whole floor panels are being sent to a landfill facility, they stay on the dumping site for 100 years. Eventhough it has low CO2 values, scenario is not considered resource recovery friendly."
FLOOR and more®,Shredding for Recycling,"When the product reaches its end of life in the current building, the floor panel will be centrally shredded, The resulting gypsum granulate is used in a future panel production. This Scenario significantly reduce the need for new raw materials, like gypsum."
FLOOR and more®,Refurbishment for reuse,"When the product reaches its end of life in the current building, product can be carefully deconstructed and refurbished locally or centrally inorder to be used in a new building project. This scenario has the highest potential for circularity, significantly reducing the need for new   raw materials in future productions of Calcium Sulphate Panels. "
LOOP,Refurbishment for reuse,"When the product reaches its end of life in the current building, product can be carefully deconstructed and refurbished locally or centrally inorder to be used in a new building project. This scenario has the lowest CO2 footprint as it is a refurbished product which has the technical qulaities to be refurbished again. "
LOOP,Landfill,"When the product reaches its end of life in the current building, the whole floor panels are being sent to a landfill facility, they stay on the dumping site for 100 years. Eventhough it has low CO2 values, scenario is not considered resource recovery friendly."
LOOP,Shredding for recycling,"When the product reaches its end of life in the current building, the floor panel will be centrally shredded, The resulting gypsum granulate is used in a future panel production. This Scenario significantly reduce the need for new raw materials, like gypsum."
NORTEC,100% Reuse,"When the product reaches its end of life in the current building, product can be carefully deconstructed and refurbished locally or centrally inorder to be used in a new building project. This scenario has the highest potential for circularity, significantly reducing the need for new   raw materials in future productions of Calcium Sulphate Panels. "
NORTEC,100% Landfiling,"When the product reaches its end of life in the current building, the whole floor panels are being sent to a landfill facility, they stay on the dumping site for 100 years. Eventhough it has low CO2 values, scenario is not considered resource recovery friendly."
NORTEC,100% Recycling,"When the product reaches its end of life in the current building, the floor panel will be centrally shredded, The resulting gypsum granulate is used in a future panel production. This Scenario significantly reduce the need for new raw materials, like gypsum."
NORIT,Landfilling,"When the product reaches its end of life in the current building, the whole floor panels are being sent to a landfill facility, they stay on the dumping site for 100 years. Eventhough it has low CO2 values, scenario is not considered resource recovery friendly."
NORIT,Shredding for Recycling,"When the product reaches its end of life in the current building, the floor panel will be centrally shredded, The resulting gypsum granulate is used in a future panel production. This Scenario significantly reduce the need for new raw materials, like gypsum."
NORIT,Refurbishment for reuse,"When the product reaches its end of life in the current building, product can be carefully deconstructed and refurbished locally or central inorder to be used in a new building project. This scenario has the highest potential for circularity, significantly reducing the need for new   raw materials in future productions of Calcium Sulphate Panels. "
