producttype,scenario_name,description
LMD-B 100,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-B 100,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-B 110,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-B 110,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-DS 312,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-DS 312,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-DS 313,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-DS 313,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-DS 320,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-DS 320,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
