producttype,scenario_name,description
Lindner Life Stereo 125,100% landfilling,"At end of life the product is collected as mixed construction waste. Recyclable metal components are recycled and non-recyclable components (e.g. plastics) are incinerated with energy recovery, while the glass fraction is landfilled as a worst-case assumption ."
Lindner Life Contour 126,100% landfilling,"At end of life the product is collected as mixed construction waste. Recyclable metal components are recycled and non-recyclable components (e.g. plastics) are incinerated with energy recovery, while the glass fraction is landfilled as a worst-case assumption ."
Lindner Life Freeze 137,100% landfilling,"At end of life the product is collected as mixed construction waste. Recyclable metal components are recycled and non-recyclable components (e.g. plastics) are incinerated with energy recovery, while the glass fraction is landfilled as a worst-case assumption ."
Multiclean LVT 437,100% landfilling,"At end of life the product is collected as mixed construction waste. Recyclable metal components are recycled and non-recyclable components (e.g. plastics) are incinerated with energy recovery, while the glass fraction is landfilled as a worst-case assumption ."
Multiclean CLVT 437,100% landfilling,"At end of life the product is collected as mixed construction waste. Recyclable metal components are recycled and non-recyclable components (e.g. plastics) are incinerated with energy recovery, while the glass fraction is landfilled as a worst-case assumption ."
Multiclean CPH 448,100% landfilling,"At end of life the product is collected as mixed construction waste. Recyclable metal components are recycled and non-recyclable components (e.g. plastics) are incinerated with energy recovery, while the glass fraction is landfilled as a worst-case assumption ."
"Lindner Logic 100 Timber Partition, 47 and 49 dB Sound Proofing
Variants",Conventional,"At end of life, steel components are recycled; plastics and sealants (acrylic edgebands, EPDM, PE, TPE) and wood-based components (chipboard and surface veneer) are incinerated with thermal recovery; gypsum-based components (GFP, GKB, GKF, GKFI) and mineral wool are landfilled"
"Lindner Logic 100 Timber Partition, 47 and 49 dB Sound Proofing
Variants",Reuse,"At end of life the wall is dismantled non-destructively. Steel components are recycled and minor plastics (EPDM, PE, TPE) are incinerated, while the rest of the product is reused (booked as components for reuse, CRU)."
"Lindner Logic 100 Timber Partition, 47 and 49 dB Sound Proofing
Variants",Repurpose,"At end of life, steel is recycled and plastics are incinerated; gypsum-based components and mineral wool are landfilled; the wall panel with all components is repurposed and reused (booked as CRU)."
"Lindner Logic 100 Timber Partition, 51 and 52 dB Sound Proofing
Variants",Conventional,"At end of life, steel components are recycled; plastics and sealants (acrylic edgebands, EPDM, PE, TPE) and wood-based components (chipboard and surface veneer) are incinerated with thermal recovery; gypsum-based components (GFP, GKB, GKF, GKFI) and mineral wool are landfilled"
"Lindner Logic 100 Timber Partition, 51 and 52 dB Sound Proofing
Variants",Reuse,"At end of life the wall is dismantled non-destructively. Steel components are recycled and minor plastics (EPDM, PE, TPE) are incinerated, while the rest of the product is reused (booked as components for reuse, CRU)."
"Lindner Logic 100 Timber Partition, 51 and 52 dB Sound Proofing
Variants",Repurpose,"At end of life, steel is recycled and plastics are incinerated; gypsum-based components and mineral wool are landfilled; the wall panel with all components is repurposed and reused (booked as CRU)."
"Lindner Logic 100 Timber Partition, 53 dB Sound Proofing Variants",Conventional,"At end of life, steel components are recycled; plastics and sealants (acrylic edgebands, EPDM, PE, TPE) and wood-based components (chipboard and surface veneer) are incinerated with thermal recovery; gypsum-based components (GFP, GKB, GKF, GKFI) and mineral wool are landfilled"
"Lindner Logic 100 Timber Partition, 53 dB Sound Proofing Variants",Reuse,"At end of life the wall is dismantled non-destructively. Steel components are recycled and minor plastics (EPDM, PE, TPE) are incinerated, while the rest of the product is reused (booked as components for reuse, CRU)."
"Lindner Logic 100 Timber Partition, 53 dB Sound Proofing Variants",Repurpose,"At end of life, steel is recycled and plastics are incinerated; gypsum-based components and mineral wool are landfilled; the wall panel with all components is repurposed and reused (booked as CRU)."
"Lindner Logic 100 Timber Partition, 55 dB Sound Proofing Variants",Conventional,"At end of life, steel components are recycled; plastics and sealants (acrylic edgebands, EPDM, PE, TPE) and wood-based components (chipboard and surface veneer) are incinerated with thermal recovery; gypsum-based components (GFP, GKB, GKF, GKFI) and mineral wool are landfilled"
"Lindner Logic 100 Timber Partition, 55 dB Sound Proofing Variants",Reuse,"At end of life the wall is dismantled non-destructively. Steel components are recycled and minor plastics (EPDM, PE, TPE) are incinerated, while the rest of the product is reused (booked as components for reuse, CRU)."
"Lindner Logic 100 Timber Partition, 55 dB Sound Proofing Variants",Repurpose,"At end of life, steel is recycled and plastics are incinerated; gypsum-based components and mineral wool are landfilled; the wall panel with all components is repurposed and reused (booked as CRU)."
"Lindner Logic 100 Timber Partition, EI60 Fire Protection Variant",Conventional,"At end of life, steel components are recycled; plastics and sealants (acrylic edgebands, EPDM, PE, TPE) and wood-based components (chipboard and surface veneer) are incinerated with thermal recovery; gypsum-based components (GFP, GKB, GKF, GKFI) and mineral wool are landfilled"
"Lindner Logic 100 Timber Partition, EI60 Fire Protection Variant",Reuse,"At end of life the wall is dismantled non-destructively. Steel components are recycled and minor plastics (EPDM, PE, TPE) are incinerated, while the rest of the product is reused (booked as components for reuse, CRU)."
"Lindner Logic 100 Timber Partition, EI60 Fire Protection Variant",Repurpose,"At end of life, steel is recycled and plastics are incinerated; gypsum-based components and mineral wool are landfilled; the wall panel with all components is repurposed and reused (booked as CRU)."
"Lindner Logic 100 Timber Partition, F30-EI30 Fire Protection Variants",Conventional,"At end of life, steel components are recycled; plastics and sealants (acrylic edgebands, EPDM, PE, TPE) and wood-based components (chipboard and surface veneer) are incinerated with thermal recovery; gypsum-based components (GFP, GKB, GKF, GKFI) and mineral wool are landfilled"
"Lindner Logic 100 Timber Partition, F30-EI30 Fire Protection Variants",Reuse,"At end of life the wall is dismantled non-destructively. Steel components are recycled and minor plastics (EPDM, PE, TPE) are incinerated, while the rest of the product is reused (booked as components for reuse, CRU)."
"Lindner Logic 100 Timber Partition, F30-EI30 Fire Protection Variants",Repurpose,"At end of life, steel is recycled and plastics are incinerated; gypsum-based components and mineral wool are landfilled; the wall panel with all components is repurposed and reused (booked as CRU)."
